Description;ASSETNUM;LOCATION;facteur;valeur;pourcentage;action_recommandee;action_secondaire;FC;PB;type_lubrification;oil_level;downtime;vibration;power_alimentation;maintenance_frequency;seniority
panne pneumatique;A17ABI999;L3BI999;Pression d'air - Fuites dans le circuit - Qualité de l'air;85 dB;60.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;2;5.06;non;faible;hebdomadaire;19
panne pneumatique;A23ABI999;L31BI999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;1;1.7;oui;bonne;hebdomadaire;9
problème tension;A37ABI999;L11BI999;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;huile;3;0.55;non;moyenne;trimestrielle;20
problème tension;A23AqBI999;L21BI999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;graisse;3;2.31;non;moyenne;trimestrielle;10
problème tension;A15BI999;L2BI999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;1;3.76;non;faible;trimestrielle;16
fuite hydraulique;A12BI999;L8AZBM999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;3;0.51;oui;moyenne;annuelle;20
défaut logiciel;L3AZBM999;A37DM999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;50.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;1;3.54;non;bonne;trimestrielle;18
panne pneumatique;L11BI999;A36DM999;"""	Pression du système""";>45°C;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;semi-solide;2;7.0;non;faible;mensuelle;17
problème tension;L11BM999;A371DM999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;1;4.1;oui;faible;trimestrielle;18
panne pneumatique;L1AZBM999;L430;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;3;6.05;oui;moyenne;mensuelle;5
fuite hydraulique;L2BI999;L3100;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;1;2.93;non;moyenne;hebdomadaire;15
surchauffe;L8AZBM999;L200;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;41.66666666666667;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_CHAU;graisse;3;1.55;oui;moyenne;trimestrielle;13
fuite hydraulique;L2BM999;L300;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;3;7.25;oui;faible;annuelle;14
défaillance capteur;L31BM999;TUMBLE;Température ambiante - Humidité - Âge du capteur;>45°C;25.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;semi-solide;1;7.5;non;faible;mensuelle;13
turn western;L31BI999;CLEAN;"""	Pression du système""";>45°C;100.0;Vérifier l'état des capteurs;Remplacer les composants usés;DF_GEN;PB_GEN;huile;5;6.62;oui;faible;mensuelle;17
surchauffe moteur;L5AZBM999;MECHASSY;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;4;1.56;non;bonne;annuelle;15
défaut logiciel;L1DZBM999;MOLD;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;huile;4;5.87;non;bonne;mensuelle;2
fuite hydraulique;1001;6THFLOOR;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;2;2.32;oui;bonne;annuelle;6
fuite hydraulique;12600;A10211OC999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;4;3.19;oui;bonne;annuelle;12
problème tension;11450;L4AZVBC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;huile;3;4.53;non;bonne;trimestrielle;15
surchauffe;11230;L48BZVBC999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;2;7.55;non;moyenne;hebdomadaire;6
surchauffe;12300;L45AZVBC999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;2;0.67;non;faible;hebdomadaire;0
panne pneumatique;11430;L41BZVBC999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;5;5.33;non;faible;trimestrielle;18
fuite hydraulique;13141;L41AZVBC999;"""	Pression du système""";Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;4;7.3;oui;faible;mensuelle;7
fuite hydraulique;12700;L2B1VBC999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;2;2.65;non;moyenne;trimestrielle;6
problème tension;11470;L3A1VBC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;1;0.69;oui;moyenne;annuelle;16
turn western;13140;L6B1VBC999;"""	Pression du système""";>45°C;100.0;Vérifier l'état des capteurs;Remplacer les composants usés;DF_GEN;PB_GEN;aucune;3;1.81;non;moyenne;trimestrielle;20
fuite hydraulique;11200;L8B1VBC999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;1;1.91;non;faible;trimestrielle;15
problème tension;11300;L7BVBC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;huile;4;5.57;non;bonne;mensuelle;8
problème tension;11460;L5A3DM999;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;huile;1;0.92;non;bonne;hebdomadaire;18
défaillance capteur;12210;L9B2DM999;Température ambiante - Humidité - Âge du capteur;>45°C;25.0;Vérifier l'état des capteurs;Remplacer les capteurs défectueux;DF_CAP;PB_CAP;graisse;4;6.34;oui;faible;annuelle;1
défaut logiciel;12100;1L3B1SZ999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;50.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;1;1.8;non;faible;annuelle;19
fuite hydraulique;13150;A105OC999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;5;0.69;non;moyenne;hebdomadaire;15
surchauffe;13110;A1021OC999;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;semi-solide;5;2.11;oui;faible;trimestrielle;12
fuite hydraulique;13160;A11211OC999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;5;4.57;non;bonne;hebdomadaire;10
vibration excessive;13120;A1121OC999;Déséquilibre rotor - Fixations desserrées - Usure des roulements;>45°C;100.0;Équilibrer les pièces;Vérifier les fixations;PB_VIB;PB_VIB;semi-solide;3;6.64;non;faible;mensuelle;2
usure mecanique;52300;A11OC999;Charge appliquée - Fatigue du matériau - Lubrification;1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;aucune;1;1.08;oui;faible;hebdomadaire;11
surchauffe;1002;L3ASZ999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;41.66666666666667;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_CHAU;huile;2;1.06;oui;bonne;trimestrielle;5
problème tension;1000;L8BSZ999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;2;5.14;oui;bonne;mensuelle;7
surchauffe;7111;L7BSZ999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;5;1.34;oui;moyenne;annuelle;3
problème tension;11210;L2BSZ999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;2;3.84;non;faible;trimestrielle;4
problème tension;13145;L18BSZ999;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;aucune;5;6.49;non;bonne;mensuelle;7
fuite hydraulique;13143;L7B1SZ999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;5;6.23;non;bonne;annuelle;4
fuite hydraulique;13170;L3BSZ999;Pression du système - État des joints - Type de fluide;85 dB;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;3;6.89;oui;moyenne;annuelle;19
fuite hydraulique;12610;L7B1VBC999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;4;4.04;non;faible;trimestrielle;2
fuite hydraulique;12710;L3B3DM999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;2;3.82;oui;moyenne;hebdomadaire;15
surchauffe moteur;23972;A12DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;5;4.74;oui;faible;trimestrielle;20
fuite hydraulique;13180;A35DM999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;1;6.13;oui;faible;mensuelle;13
fuite hydraulique;ASSET12345;A201DM999;"""	Pression du système""";Fissurés;50.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;2;7.97;oui;bonne;trimestrielle;1
turn western;ASSET1234;A111DM999;"""	Pression du système""";>45°C;100.0;Vérifier l'état des capteurs;Remplacer les composants usés;DF_GEN;PB_GEN;semi-solide;4;3.3;non;bonne;hebdomadaire;9
problème tension;ASSET123;A121ADM999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;semi-solide;1;0.59;oui;moyenne;hebdomadaire;4
défaut logiciel;ASSET12;A131ADM999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;50.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;4;0.58;non;moyenne;annuelle;0
défaut logiciel;ASSET1;A13DM999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;2;3.98;non;moyenne;trimestrielle;10
panne pneumatique;CAL101;A14DM999;Pression d'air - Fuites dans le circuit - Qualité de l'air;1500 RPM;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;1;2.06;non;moyenne;annuelle;0
usure mécanique;CAL102;A141DM999;Charge appliquée - Fatigue du matériau - Lubrification;Humidité: 90% RH;50.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;semi-solide;5;1.47;non;moyenne;mensuelle;19
surchauffe;CAL103;BR300;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;1500 RPM;41.66666666666667;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_CHAU;huile;3;6.22;oui;bonne;annuelle;2
problème tension;7112;SHIPPING;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;huile;4;4.89;non;faible;annuelle;3
problème tension;7113;BR450;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;huile;3;2.42;oui;bonne;hebdomadaire;16
défaut logiciel;7114;BOILER;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;5;3.34;non;faible;annuelle;11
défaut logiciel;7115;BR230;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;50.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;aucune;2;2.75;oui;moyenne;hebdomadaire;10
problème tension;9000;BPM3100;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;graisse;2;3.22;oui;bonne;annuelle;15
fuite hydraulique;9001;REPAIR;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;1;2.06;non;bonne;annuelle;18
fuite hydraulique;9002;BR210;"""	Pression du système""";Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;1;1.73;non;moyenne;hebdomadaire;8
fuite hydraulique;9010;BR430;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;1;5.83;non;moyenne;trimestrielle;12
fuite hydraulique;A43ABI999;BR200;"""	Pression du système""";Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;4;6.38;oui;faible;mensuelle;6
problème tension;A37A1BI999;BR460;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;4;7.92;oui;faible;mensuelle;16
fuite hydraulique;A41BI999;POLE300;Pression du système - État des joints - Type de fluide;Humidité: 90% RH;100.0;Identifier la source de la fuite;Remplacer les joints;pb_HYD;pb_HYD;semi-solide;4;6.6;non;moyenne;mensuelle;20
panne pneumatique;A16BI999;OFF103;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;4;2.22;non;bonne;hebdomadaire;4
panne pneumatique;A20BI999;BR400;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;4;5.03;non;bonne;mensuelle;10
surchauffe moteur;A17ABI999;PACKAGE;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;semi-solide;3;1.62;non;moyenne;mensuelle;3
fuite hydraulique;A23ABI999;ECC210;Pression du système - État des joints - Type de fluide;Humidité: 90% RH;100.0;Identifier la source de la fuite;Remplacer les joints;pb_HYD;pb_HYD;huile;4;5.46;oui;moyenne;mensuelle;19
défaut logiciel;A37ABI999;MOFLOOR1;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;2;5.67;oui;faible;mensuelle;18
surchauffe;A23AqBI999;CENTRAL;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;semi-solide;4;4.49;non;moyenne;mensuelle;19
panne pneumatique;A15BI999;OFFICE;Pression d'air - Fuites dans le circuit - Qualité de l'air;>45°C;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;4;1.74;non;bonne;trimestrielle;4
surchauffe;A12BI999;MH100;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;5;1.58;oui;moyenne;annuelle;15
fuite hydraulique;L3AZBM999;NEEDHAM;Pression du système - État des joints - Type de fluide;Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;4;6.04;oui;moyenne;trimestrielle;20
panne pneumatique;L11BI999;COMPLAB;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;semi-solide;3;6.21;non;moyenne;mensuelle;16
problème tension;L11BM999;BLK2000;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;huile;3;4.7;oui;bonne;annuelle;1
turn western;L1AZBM999;SAN101;"""	Pression du système""";>45°C;100.0;Vérifier l'état des capteurs;Remplacer les composants usés;DF_GEN;PB_GEN;huile;4;0.77;non;faible;annuelle;2
panne pneumatique;L2BI999;BR431;Pression d'air - Fuites dans le circuit - Qualité de l'air;85 dB;60.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;3;0.67;non;bonne;hebdomadaire;19
fuite hydraulique;L8AZBM999;CONF200;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;3;7.08;oui;bonne;annuelle;12
défaut logiciel;L2BM999;FINALPKG;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;50.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;2;0.87;non;faible;mensuelle;6
défaut logiciel;L31BM999;MARKING;Version du firmware - CPU Usage - Erreurs mémoire;1500 RPM;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;5;5.36;oui;faible;trimestrielle;13
problème tension;L31BI999;FIELDSTAFF;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;semi-solide;3;2.86;non;faible;trimestrielle;13
problème tension;L5AZBM999;COMP310;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;1;7.16;oui;faible;trimestrielle;2
fuite hydraulique;L1DZBM999;MOFLOOR4;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;4;7.75;non;faible;mensuelle;18
vibration excessive;1001;L41BI999;Déséquilibre rotor - Fixations desserrées - Usure des roulements;>45°C;100.0;Équilibrer les pièces;Vérifier les fixations;PB_VIB;PB_VIB;aucune;3;2.34;oui;moyenne;mensuelle;6
fuite hydraulique;12600;L1BI999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;5;7.59;non;moyenne;hebdomadaire;0
surchauffe moteur;11450;L3BI999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;aucune;2;2.14;non;moyenne;hebdomadaire;16
panne pneumatique;11230;L31BI999;"""	Pression du système""";>45°C;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;2;7.91;oui;moyenne;mensuelle;19
problème tension;12300;L11BI999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;5;2.95;oui;faible;hebdomadaire;2
défaut logiciel;11430;L21BI999;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;3;2.79;oui;faible;trimestrielle;1
problème tension;13141;L2BI999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;semi-solide;3;7.96;non;moyenne;trimestrielle;16
fuite hydraulique;12700;L8AZBM999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;4;1.94;oui;faible;trimestrielle;12
surchauffe moteur;11470;A37DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;2;2.11;oui;bonne;hebdomadaire;16
fuite hydraulique;13140;A36DM999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;3;7.17;oui;bonne;mensuelle;20
fuite hydraulique;11200;A371DM999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;4;1.96;oui;faible;hebdomadaire;0
surchauffe moteur;11300;L430;"""	Pression du système""";Humidité: 90% RH;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;4;7.09;non;bonne;hebdomadaire;15
problème tension;11460;L3100;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;66.66666666666666;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;huile;3;5.43;oui;faible;hebdomadaire;0
usure mécanique;12210;L200;Charge appliquée - Fatigue du matériau - Lubrification;Humidité: 90% RH;50.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;1;2.58;oui;moyenne;hebdomadaire;1
usure mécanique;12100;L300;Charge appliquée - Fatigue du matériau - Lubrification;Humidité: 90% RH;50.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;huile;5;4.49;oui;faible;hebdomadaire;16
problème tension;13150;TUMBLE;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;graisse;3;4.8;non;moyenne;trimestrielle;10
surchauffe moteur;13110;CLEAN;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;semi-solide;1;6.28;oui;faible;mensuelle;2
panne pneumatique;13160;MECHASSY;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;4;4.07;non;bonne;mensuelle;6
panne pneumatique;13120;MOLD;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;graisse;5;7.64;oui;bonne;hebdomadaire;10
turn western;52300;6THFLOOR;"""	Pression du système""";>45°C;100.0;Vérifier l'état des capteurs;Remplacer les composants usés;DF_GEN;PB_GEN;aucune;5;3.31;non;faible;mensuelle;20
fuite hydraulique;1002;A10211OC999;"""	Pression du système""";Fissurés;50.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;2;2.84;non;bonne;hebdomadaire;12
vibration excessive;1000;L4AZVBC999;Déséquilibre rotor - Fixations desserrées - Usure des roulements;>45°C;100.0;Équilibrer les pièces;Vérifier les fixations;PB_VIB;PB_VIB;graisse;3;3.52;oui;moyenne;hebdomadaire;3
fuite hydraulique;7111;L48BZVBC999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;1;1.59;oui;moyenne;mensuelle;6
fuite hydraulique;11210;L45AZVBC999;Pression du système - État des joints - Type de fluide;Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;3;5.05;non;moyenne;annuelle;17
surchauffe moteur;13145;L41BZVBC999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;semi-solide;2;4.04;oui;moyenne;annuelle;4
surchauffe;13143;L41AZVBC999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;3;4.3;non;moyenne;trimestrielle;8
problème tension;13170;L2B1VBC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;huile;3;3.7;oui;bonne;trimestrielle;4
problème tension;12610;L3A1VBC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;1;1.87;oui;faible;trimestrielle;3
surchauffe;12710;L6B1VBC999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;semi-solide;3;3.75;non;bonne;annuelle;14
vibration excessive;23972;L8B1VBC999;Déséquilibre rotor - Fixations desserrées - Usure des roulements;>45°C;100.0;Équilibrer les pièces;Vérifier les fixations;PB_VIB;PB_VIB;huile;2;7.92;oui;bonne;annuelle;10
usure mécanique;13180;L7BVBC999;Charge appliquée - Fatigue du matériau - Lubrification;Humidité: 90% RH;50.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;huile;5;4.36;non;bonne;trimestrielle;0
défaut logiciel;ASSET12345;L5A3DM999;Version du firmware - CPU Usage - Erreurs mémoire;Humidité: 90% RH;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;graisse;5;0.53;non;moyenne;hebdomadaire;4
surchauffe;ASSET1234;L9B2DM999;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;huile;5;5.38;oui;moyenne;trimestrielle;11
fuite hydraulique;ASSET123;1L3B1SZ999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;5;2.71;non;moyenne;hebdomadaire;15
